job,answer
scieur,"bois,liège,meubles"
instit.,administration publique
direct,administration publique
serrurier,industrie des métaux
reprès.,commerce de détail
charretier,transports
intendant des casernes,administration publique
profess.,"agences,locations,consultations"
horloger,horlogerie
typo.,réparations
mécanicien,industrie des métaux
cuisinier,"hôtellerie,restauration"
prof.,bureaux de consultation
comptable C. F. F.,"banques,établissements financiers"
portier,"agences,locations,consultations"
médecin,"agences,locations,consultations"
gouv.,administration publique
diaconesse,employées pour le ménage et la ferme
nég.,"banques,établissements financiers"
médecin,"agences,locations,consultations"
prof.,bureaux de consultation
forain,commerce de détail
élect.,"gaz,eau,éléctricité"
typo.,arts graphiques
charretier,transports
jardin.,"journaliers,entretien"
emp.,"employés pour tous,célibataires"
casserolier,"hôtellerie,restauration"
brasserie,"hôtellerie,restauration"
compt.,"banques,établissements financiers"
diaconesse,employées pour le ménage et la ferme
empl. C.F.F.,transports
pension,assurances privées
repas.,"hôtellerie,restauration"
exp. compt,"banques,établissements financiers"
tabacs,commerce de détail
garçon de café,"hôtellerie,restauration"
professeur,"agences,locations,consultations"
nég.,"banques,établissements financiers"
grav.,"bijouterie,gravure,frappe"
graveurs,"bijouterie,gravure,frappe"
charpent.,"construction,charpenterie"
laitier,produits alimentaires
cuisin.,produits alimentaires
laitier,produits alimentaires
laitier,produits alimentaires
employé C. F. F.,transports
organisat.,"agences,locations,consultations"
jardin,"journaliers,entretien"
emp.,"employés pour tous,célibataires"
cafetier,"hôtellerie,restauration"
cout.,industrie textile
nég.,"banques,établissements financiers"
emp. banq.,"banques,établissements financiers"
horloger,horlogerie
aspir. CFF,transports
institutr,administration publique
rel.,réparations
éditions musiques,arts graphiques
éditeur,arts graphiques
voyageur,transports
reprès.,commerce de détail
sœur visitante,"agences,locations,consultations"
polisseur,réparations
sergent de police,administration publique
cout.,industrie textile
fact.,"construction,charpenterie"
ing.,industrie chimique
fonct. postal,administration publique
ében.,"bois,liège,meubles"
charretier,transports
primeurs,produits alimentaires
cout.,"construction,charpenterie"
pionnier,"construction,charpenterie"
emp.,"employés pour tous,célibataires"
cafetier,"hôtellerie,restauration"
repasseuse,industrie textile
primeurs,produits alimentaires
emp. téléph.,"gaz,eau,éléctricité"
instit.,administration publique
étudi.,"agences,locations,consultations"
instit.,administration publique
méd.,"agences,locations,consultations"
étudi.,"agences,locations,consultations"
institut.,administration publique
cuisinière,"hôtellerie,restauration"
emp.,"employés pour tous,célibataires"
tricoteuse,industrie textile
sous-archiviste cantonal,administration publique
prof.,bureaux de consultation
cafetier,"hôtellerie,restauration"
chauffeur C. F. F.,transports
magas.,commerce de détail
laitier,produits alimentaires
lampiste C. F. F.,
télégr. CFF.,transports
institut.,administration publique
cuisinier,"hôtellerie,restauration"
vend.,commerce de détail
cord.,industrie du papier
secrét. T. C.,bureaux de consultation
diaconcsse,employées pour le ménage et la ferme
menuis.,"construction,charpenterie"
agr.,"journaliers,entretien"
lith.,industrie du papier
charret.,transports
dom.,employées pour le ménage et la ferme
agricul.,employées pour le ménage et la ferme
g.-malade,"employés pour tous,célibataires"
impr.,arts graphiques
boucher,produits alimentaires
tapiss.,"bois,liège,meubles"
emp.,"employés pour tous,célibataires"
électr.,"gaz,eau,éléctricité"
bric-à-brac,commerce de détail
confiseur,produits alimentaires
menuis.,"bois,liège,meubles"
agricult.,employées pour le ménage et la ferme
prof. gym.,"employés pour tous,célibataires"
cantonnier,"journaliers,entretien"
cout.,industrie textile
électricien,"gaz,eau,éléctricité"
charron,"construction,charpenterie"
ag. de police,administration publique
charpent. Ernest,"construction,charpenterie"
empl. C. F. F.,"employés pour tous,célibataires"
empl. C.F.F.,transports
coiff.,commerce de détail
employé aux Casernes,administration publique
chauf,transports
charpent.,"construction,charpenterie"
charretier,transports
emp.,"employés pour tous,célibataires"
chef de bureau,bureaux de consultation
caiss.,commerce de détail
méd. assist.,"employés pour tous,célibataires"
électricien,"gaz,eau,éléctricité"
méc.,industrie des métaux
ents financiers"
cafetier,"hôtellerie,restauration"
nég.,"banques,établissements financiers"
chauffeur d’auto,transports
employé postal,administration publique
cafetier,"hôtellerie,restauration"
typo.,arts graphiques
portier,"journaliers,entretien"
geot,pierre et terre
cafetier,"hôtellerie,restauration"
primeurs,produits alimentaires
teur,"employés pour tous,célibataires"
chauff. C.F.F.,transports
architecte,"construction,charpenterie"
repass.,industrie textile
auto taxis,transports
dessinat.,arts graphiques
taill. de pierres,pierre et terre
caiss.,commerce de détail
prof. de cuisine,"hôtellerie,restauration"
charretier,transports
dom.,employées pour le ménage et la ferme
empl. trams.,transports
charretier,transports
emp.,"employés pour tous,célibataires"
horticult.,"journaliers,entretien"
voyageur,transports
anc. boursier,"banques,établissements financiers"
voyag.,transports
emp.,"employés pour tous,célibataires"
comm. CFF,transports
laitier,produits alimentaires
empl. post.,"employés pour tous,célibataires"
serrurier,industrie des métaux
ing.,industrie chimique
ontr.,"construction,charpenterie"
fonction. C.F.F.,administration publique
reprès.,commerce de détail
laitier,produits alimentaires
men.,"employés pour tous,célibataires"
relieur,industrie du papier
lingère,"vêtements, lingerie,chaussures,literies"
mécân.,réparations
empl. au téléphone,"agences,locations,consultations"
lène,"journalières,entretien"
cordonn.,arts graphiques
tabacs-cigares,commerce de détail
ingénieur,industrie chimique
instit.,administration publique
serrurier,industrie des métaux
repas.,"hôtellerie,restauration"
cordonn.,"vêtements, lingerie,chaussures,literies"
téléphon,"agences,locations,consultations"
horlog.,horlogerie
instit.,administration publique
vendeuse,commerce de détail
jardin.,"journaliers,entretien"
instit.,administration publique
palefrenier,employées pour le ménage et la ferme
pierriste,pierre et terre
cuisinière,"hôtellerie,restauration"
laiterie,produits alimentaires
ling.,"vêtements, lingerie,chaussures,literies"
infirm.,employées pour le ménage et la ferme
emp.,"employés pour tous,célibataires"
chef d'institution,administration publique
music.,arts graphiques
contrôleur T.-L.,transports
vitrier,"construction,charpenterie"
imprimerie,arts graphiques
emp,"employés pour tous,célibataires"
masseur,"agences,locations,consultations"
voyag.,transports
primeurs,produits alimentaires
charron,"construction,charpenterie"
sommel.,"hôtellerie,restauration"
philatéliste,commerce de détail
méc. CFF.,transports
laiterie,produits alimentaires
étud.,bureaux de consultation
nég.,"banques,établissements financiers"
mod.,arts graphiques
g. de café,"hôtellerie,restauration"
horl.,horlogerie
vend.,commerce de détail
commis C. F. F.,
emp. C. N. d'ass.,assurances privées
coiffeuse,commerce de détail
ingén.,industrie chimique
café,"hôtellerie,restauration"
emp.,"employés pour tous,célibataires"
horlogers-bijoutiers,"bijouterie,gravure,frappe"
sommel.,"hôtellerie,restauration"
administ.,administration publique
fond.,industrie des métaux
serrur.,industrie des métaux
menuis.,"bois,liège,meubles"
nég.,"banques,établissements financiers"
graveur bijoutier,"bijouterie,gravure,frappe"
cafetier,"hôtellerie,restauration"
emp. CFF,transports
masseur,"agences,locations,consultations"
chauffeur,transports
coiffeuse,commerce de détail
cout.,"construction,charpenterie"
cafés,"hôtellerie,restauration"
mécan. C.F.F.,industrie des métaux
commerçant,commerce de détail
produits alim. en gros,commerce de gros
secrét. télégr.,"agences,locations,consultations"
g. boucher,produits alimentaires
journal.,arts graphiques
peintre,arts graphiques
nég.,"banques,établissements financiers"
com. post.,transports
relieur,industrie du papier
pension,assurances privées
soldeur,industrie des métaux
cordonnier,"vêtements, lingerie,chaussures,literies"
cout. (garçons,"employés pour tous,célibataires"
rectr. CFF.,transports
charret.,transports
nég.,"banques,établissements financiers"
emplové postal,administration publique
serrurier,industrie des métaux
boul.,produits alimentaires
gouv.,administration publique
serrur.,industrie des métaux
jardin.,"journaliers,entretien"
électricien,"gaz,eau,éléctricité"
commis C.F.,commerce de détail
fonct,administration publique
appar. C.,industrie des métaux
conducteur,transports
menuis.,"bois,liège,meubles"
m. de bétail,vachers célibataires
m. de bétail,vachers célibataires
jardin.,"journaliers,entretien"
prof.,bureaux de consultation
taill.,industrie du papier
tabacs,commerce de détail
repr.,commerce de détail
grav.,"bijouterie,gravure,frappe"
agriculteur,employées pour le ménage et la ferme
prof.,bureaux de consultation
motocycleès,transports
peintre,arts graphiques
coiffeuse,commerce de détail
empl. C.F.F.,transports
dessina­teur,arts graphiques
prof. de mu­sique,arts graphiques
rel.,réparations
cout.,"construction,charpenterie"
empl. CFF.,transports
taill.,industrie du papier
ing.,industrie chimique
menuis.,"construction,charpenterie"
anc. cafetier,"hôtellerie,restauration"
rentier,"affaires immobilières,location"
techn.,réparations
compt.,"banques,établissements financiers"
cout.,industrie textile
chaussures,"vêtements, lingerie,chaussures,literies"
photogr.,arts graphiques
nég.,"banques,établissements financiers"
profes. de piano,arts graphiques
serrur.,industrie des métaux
emp.,"employés pour tous,célibataires"
imprim.,arts graphiques
emp. banque,"banques,établissements financiers"
f. de ch.,"construction,charpenterie"
contremaît,industrie textile
blanchisseuse,employées pour le ménage et la ferme
manœuv.,transports
caissier,commerce de détail
empl. de ch. de fer,transports
cout.,"construction,charpenterie"
ing.,industrie chimique
pension,assurances privées
nég.,"banques,établissements financiers"
commis aux C.F.F. Mont d'Or 41,
pierriste,pierre et terre
chapelier,"vêtements, lingerie,chaussures,literies"
empl. T. F.,"employés pour tous,célibataires"
secrét.,bureaux de consultation
ing.,industrie chimique
pierriste,pierre et terre
emp. banque,"banques,établissements financiers"
tapissier,"bois,liège,meubles"
confiserie,produits alimentaires
dem. de magr.,produits alimentaires
confiserie,produits alimentaires
inge fédér.,administration publique
commerçant,commerce de détail
vicaire,administration publique
limonadier,"hôtellerie,restauration"
charretier,transports
fondeur,industrie des métaux
nég.,"banques,établissements financiers"
commis C. F. F.,transports
fourreur,"vêtements, lingerie,chaussures,literies"
mécanic.,réparations
emp.,"employés pour tous,célibataires"
journalière,"journalières,entretien"
relieur,industrie du papier
inspect. C.F.F.,transports
brosserie,industrie textile
ing.,industrie chimique
chocolat,produits alimentaires
ingénieur,industrie chimique
voyag. de com.,commerce de détail
cord.,industrie textile
mod.,arts graphiques
appar.,réparations
dactyl.,arts graphiques
emp.,"employés pour tous,célibataires"
coiffeur,commerce de détail
chauff,transports
bûcheron,"bois,liège,meubles"
repr.,commerce de détail
maréchal,réparations
voyag.,transports
emp. CFF.,transports
pharmacien,industrie chimique
étud.,"agences,locations,consultations"
jardin.,"journaliers,entretien"
sage-femme,réparations
journalier,"journaliers,entretien"
direct. de clinique,administration publique
journalière,"journalières,entretien"
gouv.,administration publique
commercant,commerce de détail
méd.,"agences,locations,consultations"
pianiste,arts graphiques
emp.,"employés pour tous,célibataires"
emp.,"employés pour tous,célibataires"
pension,assurances privées
g.-malades,"journalières,entretien"
contre-maître,industrie du papier
portier,"journaliers,entretien"
man CFF.,transports
coiff.,commerce de détail
compt.,bureaux de consultation
cuisin.,produits alimentaires
techn.,"agences,locations,consultations"
fourreur,"vêtements, lingerie,chaussures,literies"
représent.,"agences,locations,consultations"
tailleur,"vêtements, lingerie,chaussures,literies"
cuisinier,"hôtellerie,restauration"
prof.,bureaux de consultation
compt.,"banques,établissements financiers"
emp.,"employés pour tous,célibataires"
prof. musiq.,arts graphiques
nég.,"banques,établissements financiers"
laitier,produits alimentaires
pianiste,arts graphiques
prof. de piano,arts graphiques
relieur,industrie du papier
prof. de peinture,arts graphiques
commerçant,commerce de détail
fourn. pour dentistes,commerce de détail
industr.,industrie chimique
hôtelier,"hôtellerie,restauration"
gouv.,administration publique
serrur.,industrie des métaux
ferblantier,industrie des métaux
commerc.,commerce de détail
commis C. F. F.,commerce de détail
infirmière,employées pour le ménage et la ferme
drog.,industrie chimique
ag. d'affaires patenté,"agences,locations,consultations"
médecin,"agences,locations,consultations"
charron,"construction,charpenterie"
sommelier,"hôtellerie,restauration"
lingère,"vêtements, lingerie,chaussures,literies"
profes.,"agences,locations,consultations"
cordonn.,industrie textile
dactylgr.,arts graphiques
journal.,arts graphiques
charretier,transports
pension,assurances privées
modeleur,arts graphiques
commis de banq.,"banques,établissements financiers"
ameublem.,"bois,liège,meubles"
secrét.,"agences,locations,consultations"
empl,"employés pour tous,célibataires"
serrur.,industrie des métaux
emp. de banque,"banques,établissements financiers"
dactyl.,arts graphiques
ingén.,administration publique
taill.,industrie du papier
serrur.,industrie des métaux
pharmac.,industrie chimique
g.-malades,"employés pour tous,célibataires"
app. de police,administration publique
dactyl.,arts graphiques
épic.-drog.,industrie chimique
g.-malade,"employés pour tous,célibataires"
emp.,"employés pour tous,célibataires"
voyag.,transports
emp,"employés pour tous,célibataires"
grav.,"bijouterie,gravure,frappe"
fab. de registres,industrie du papier
reprês.,réparations
accordeur de pianos,réparations
cout.,industrie textile
serrurier,industrie des métaux
bains,"hôtellerie,restauration"
pensionnat,"hôtellerie,restauration"
tailleur,"vêtements, lingerie,chaussures,literies"
commis C. F.,transports
rent.,"affaires immobilières,location"
garde-malades,employées pour le ménage et la ferme
rent.,"affaires immobilières,location"
cordonnier,"vêtements, lingerie,chaussures,literies"
substitut du Procur. gén.,administration publique
lic. en droit,"agences,locations,consultations"
diaconesse,employées pour le ménage et la ferme
mèdecin,"agences,locations,consultations"
méd.,"agences,locations,consultations"
emballeur,commerce de détail
prof. de chant,arts graphiques
poêlier,industrie du papier
vend.,commerce de détail
confiseur,produits alimentaires
représ.,commerce de détail
relieur,industrie du papier
cuisinière,"hôtellerie,restauration"
emp.,"employés pour tous,célibataires"
mécano.,réparations
serrur.,industrie des métaux
représ.,commerce de détail
architecte,"construction,charpenterie"
cond. typo,réparations
prof.,bureaux de consultation
vend.,commerce de détail
ciment.,pierre et terre
voyag.,transports
hôtel,"hôtellerie,restauration"
notaire,bureaux de consultation
cout.,"vêtements, lingerie,chaussures,literies"
chauf.,transports
avoc,produits alimentaires
port. de pain,produits alimentaires
direct.,administration publique
étud.,bureaux de consultation
techn.,"agences,locations,consultations"
mécan. au Trib. Fédéral,administration publique
prof. piano,arts graphiques
mach. à écrire,arts graphiques
impr.,arts graphiques
rent.,"affaires immobilières,location"
institutrice,"agences,locations,consultations"
étud.,"agences,locations,consultations"
commis.,commerce de détail
étud.,"agences,locations,consultations"
repass.,industrie textile
cout.,industrie textile
café,"hôtellerie,restauration"
serrurier,industrie des métaux
rent.,"affaires immobilières,location"
hoirs de Ch.,horlogerie
serrurier.,industrie des métaux
nég.,"banques,établissements financiers"
cuisin.,produits alimentaires
peintre,arts graphiques
magasinier,commerce de détail
laitier,produits alimentaires
représentant,"agences,locations,consultations"
compt.,"banques,établissements financiers"
cuisin.,produits alimentaires
diaconesse,employées pour le ménage et la ferme
représen t.,"agences,locations,consultations"
laitier,produits alimentaires
musicien,arts graphiques
pâtissier,produits alimentaires
pianos,"bois,liège,meubles"
magas.,commerce de détail
menuis.,"bois,liège,meubles"
peintre,arts graphiques
serrur.,industrie des métaux
photog.,arts graphiques
ferblant.,industrie des métaux
beurre,produits alimentaires
magasin.,commerce de détail
représ.,commerce de détail
pharmacien,industrie chimique
c coutellerie,industrie des métaux
emp. CFF,transports
teinturerie,industrie textile
archit.,"construction,charpenterie"
prof.,bureaux de consultation
relieur,industrie du papier
chauff. C.,transports
tier,pierre et terre
direct.,administration publique
emp.,"employés pour tous,célibataires"
ouv.,"employés pour tous,célibataires"
nég.,"banques,établissements financiers"
cout.,"construction,charpenterie"
conduct. trams,transports
téléph.,transports
épic.,produits alimentaires
man. CFF,transports
bretias,industrie du papier
arch.,"construction,charpenterie"
charron,"construction,charpenterie"
empl. C. F. F.,"employés pour tous,célibataires"
scieur,"bois,liège,meubles"
emp.,"employés pour tous,célibataires"
music.,arts graphiques
peintr.,arts graphiques
tailleur,"vêtements, lingerie,chaussures,literies"
laiterie,produits alimentaires
corsets,"vêtements, lingerie,chaussures,literies"
md taill.,industrie du papier
tabacs,commerce de détail
tapissier,"bois,liège,meubles"
direct.,administration publique
télégraphiste,"agences,locations,consultations"
typo.,réparations
horlog.,horlogerie
poëlier,"bois,liège,meubles"
coiff.,commerce de détail
fourreuse,employées pour le ménage et la ferme
retraité,administration publique
chef de train,transports
agriculteur,employées pour le ménage et la ferme
infirm.,employées pour le ménage et la ferme
téléph.,transports
horloger,horlogerie
emp. à l’Hôpital,administration publique
mécanic.,réparations
serr.,réparations
inge.,industrie chimique
g.-malades,"agences,locations,consultations"
boulang.,produits alimentaires
conc.,"construction,charpenterie"
restaurat.,"hôtellerie,restauration"
g.-malades,"employés pour tous,célibataires"
Dlle de mag.,commerce de détail
boucher,produits alimentaires
charpentier,"construction,charpenterie"
ing.,industrie chimique
hôtelier,"hôtellerie,restauration"
pensionnat,"hôtellerie,restauration"
pièrriste,pierre et terre
emp.,"employés pour tous,célibataires"
miroitier,"bijouterie,gravure,frappe"
voyag.,transports
chauff. C. F.,transports
reprês,réparations
prof. de piano,arts graphiques
confis.,
port. de lait,produits alimentaires
horloger-bijoutier,"bijouterie,gravure,frappe"
corsets,"vêtements, lingerie,chaussures,literies"
sellier,
voyag.,transports
cout.,industrie textile
g. de mag.,commerce de détail
chef cibarre,"hôtellerie,restauration"
portier,"journaliers,entretien"
jardin,"journaliers,entretien"
institutrice,"agences,locations,consultations"
nég.,"banques,établissements financiers"
teinturier,industrie textile
savons,industrie chimique
rep.,réparations
gérant,"agences,locations,consultations"
nég.,"banques,établissements financiers"
valet de chambre,employées pour le ménage et la ferme
profess.,"agences,locations,consultations"
camp,transports
peintre,arts graphiques
directeur de la Cie générale de navigation,transports
laitier,produits alimentaires
menuis.,"bois,liège,meubles"
magas.,commerce de détail
domes.,"construction,charpenterie"
inspect. des télégr,transports
journal.,arts graphiques
tailleur,industrie textile
prof.,bureaux de consultation
télégraphiste,"agences,locations,consultations"
étud.,"agences,locations,consultations"
cout.,"bijouterie,gravure,frappe"
horloger,horlogerie
compt.,"banques,établissements financiers"
rédact.,arts graphiques
cocher,réparations
commis S. I.,"employés pour tous,célibataires"
blanchisseuse,employées pour le ménage et la ferme
distillat.,industrie chimique
cout.,industrie textile
emp.,"employés pour tous,célibataires"
emp.,"employés pour tous,célibataires"
garde-malades,employées pour le ménage et la ferme
pâtissier,produits alimentaires
prof. de danse,arts graphiques
ag. de sûreté,administration publique
dentistes,réparations
photogr.,arts graphiques
margeur,industrie du papier
n"
cimenteur,pierre et terre
brodeuse,industrie textile
repass.,industrie textile
cout.,industrie textile
argentinier,industrie textile
nég.,"banques,établissements financiers"
ramoneur,réparations
tapissier,"construction,charpenterie"
typo.,arts graphiques
boulang.,produits alimentaires
secr.,bureaux de consultation
tapissier,"bois,liège,meubles"
apiculteur,employées pour le ménage et la ferme
lingère,"vêtements, lingerie,chaussures,literies"
comm. CFF,transports
empl. au gaz,"gaz,eau,éléctricité"
allumeur de gaz,"gaz,eau,éléctricité"
serrurier,industrie des métaux
fact. télégr.,"gaz,eau,éléctricité"
électricien,"gaz,eau,éléctricité"
huiles,industrie chimique
ing.,industrie chimique
chauss,"vêtements, lingerie,chaussures,literies"
horticul.,"journaliers,entretien"
charret.,transports
primeurs,produits alimentaires
voyag.,transports
d. de magasin,commerce de détail
mis,réparations
ctions,réparations
nég.,"banques,établissements financiers"
coiff.,commerce de détail
ingénieur,industrie chimique
nég.,"banques,établissements financiers"
commis post.,"agences,locations,consultations"
horlog.,horlogerie
commerc.,commerce de détail
méd.,"agences,locations,consultations"
f. de salle,"hôtellerie,restauration"
pâtiss.,produits alimentaires
montr.,réparations
méc. C. F. F.,industrie des métaux
emp. T. F.,"employés pour tous,célibataires"
man,"employés pour tous,célibataires"
cuisinier,"hôtellerie,restauration"
emp.,"employés pour tous,célibataires"
lingère,"vêtements, lingerie,chaussures,literies"
menuis.,"bois,liège,meubles"
inst.,industrie du papier
ouv. C. F. F.,industrie des métaux
archiv.,administration publique
m. de piano,arts graphiques
cout,industrie textile
coiffeur,commerce de détail
fonc. douanes,administration publique
photographe,arts graphiques
app. de police,administration publique
prof.,bureaux de consultation
cafetier,"hôtellerie,restauration"
repass.,industrie textile
relieur,industrie du papier
relieur,industrie du papier
librairie,commerce de détail
coiffeur pour,commerce de détail
serrurier,industrie des métaux
cordonn,"vêtements, lingerie,chaussures,literies"
tapiss.,industrie textile
contremaître,administration publique
ing. civil,"construction,charpenterie"
éditeur de musique,arts graphiques
reprès.,commerce de détail
officier retr.,administration publique
prof.,bureaux de consultation
Dr ès-sciences,bureaux de consultation
employée,employées pour le ménage et la ferme
médéc.,"agences,locations,consultations"
inst.,administration publique
profess,"agences,locations,consultations"
pianiste,arts graphiques
march. de vins,commerce de détail
vins,produits alimentaires
bijout.,"bijouterie,gravure,frappe"
charretier,transports
ing.,industrie chimique
charretier,transports
crèmerie,produits alimentaires
"empl, C.F.F.",
diaconesse,employées pour le ménage et la ferme
hortic.,"journalières,entretien"
serrur.,industrie des métaux
rest.,"hôtellerie,restauration"
dessinât.,arts graphiques
nég.,"banques,établissements financiers"
prof. de théologie,bureaux de consultation
portier,"employés pour tous,célibataires"
café,"hôtellerie,restauration"
cout.,industrie textile
livreur,transports
nég.,"banques,établissements financiers"
café Deux-Marchés 13,"hôtellerie,restauration"
cordonnier,"vêtements, lingerie,chaussures,literies"
mach. à écr.,arts graphiques
horticult.,"journaliers,entretien"
empl. L.-O.,"employés pour tous,célibataires"
artiste peintre,arts graphiques
g. de courses,commerce de détail
empl. au Dép. de l'Instr. publique,administration publique
dentiste-mécanol,réparations
Pet,"journalières,entretien"
méc.,industrie des métaux
sage-femme,réparations
tailleur,"vêtements, lingerie,chaussures,literies"
sommel.,"hôtellerie,restauration"
liquoriste,commerce de détail
charpentier,"construction,charpenterie"
empl. aux Casernes,administration publique
tricoteur,industrie textile
chauf. au gaz,"gaz,eau,éléctricité"
brig. de police,administration publique
instit.,administration publique
soldeur,industrie des métaux
empl. douanes,administration publique
maréchal,industrie des métaux
lic. en droit,bureaux de consultation
inst.,administration publique
encaisseur,"banques,établissements financiers"
agriculteur,employées pour le ménage et la ferme
menuis.,"bois,liège,meubles"
menuis.,"construction,charpenterie"
d. de mag,commerce de détail
empl,"employés pour tous,célibataires"
pensionnat,"agences,locations,consultations"
pensionnat,"hôtellerie,restauration"
ag. sûreté,assurances privées
ag. de pol.,administration publique
fromag.,produits alimentaires
sommel.,"hôtellerie,restauration"
auto-car,transports
Petit-Jolimont,vachers célibataires
ag. de police,administration publique
empl,"employés pour tous,célibataires"
emp. de banq.,"banques,établissements financiers"
cout.,"vêtements, lingerie,chaussures,literies"
sommelier,"hôtellerie,restauration"
café,"hôtellerie,restauration"
dom.,employées pour le ménage et la ferme
voyageur,transports
mécanic.,réparations
journal.,arts graphiques
cuisinière,"hôtellerie,restauration"
garç. de lab.,industrie chimique
journalier,"journaliers,entretien"
commissionnaire,"agences,locations,consultations"
empl. post.,"employés pour tous,célibataires"
administr.,administration publique
scieur,"bois,liège,meubles"
fripier,commerce de détail
tailleuse,industrie textile
fact.,industrie textile
gyps.,transports
entrep.,"agences,locations,consultations"
relieur,industrie du papier
empl. B. C.V.,"employés pour tous,célibataires"
surveill.,administration publique
typo.,réparations
retraité,administration publique
dentiste,réparations
négociante,commerce de détail
charretier,transports
conduct.,transports
institut.,administration publique
appareill.,"construction,charpenterie"
mécanicien,industrie des métaux
architecte,"construction,charpenterie"
reprês.,réparations
magas.,commerce de détail
emp.,"employés pour tous,célibataires"
cout.,industrie textile
agric,employées pour le ménage et la ferme
nég.,"banques,établissements financiers"
magas.,commerce de détail
lingère,"vêtements, lingerie,chaussures,literies"
journalier,"journaliers,entretien"
institutr.,administration publique
anc. négoc.,commerce de gros
clichés,arts graphiques
mercerie,"vêtements, lingerie,chaussures,literies"
infirm.,réparations
coiffeuse,commerce de détail
commis postal,administration publique
nég.,"banques,établissements financiers"
menuis.,"bois,liège,meubles"
retraité,administration publique
tabacs,commerce de détail
jardin.,"journaliers,entretien"
horticulteur,"journaliers,entretien"
journalier,"journaliers,entretien"
pensionnat,"hôtellerie,restauration"
emp. T.L.,"employés pour tous,célibataires"
téléph.,réparations
commis postal,"agences,locations,consultations"
anc. gouvernante,employées pour le ménage et la ferme
ling.,"vêtements, lingerie,chaussures,literies"
tonnelier,"bois,liège,meubles"
com. postal,transports
contremaître,administration publique
dessinateur,arts graphiques
pension,assurances privées
cout.,"construction,charpenterie"
commis postal,"agences,locations,consultations"
rent.,"affaires immobilières,location"
g.-mal.,réparations
menuiser,"bois,liège,meubles"
prim.,industrie du papier
men.,"employés pour tous,célibataires"
ouvr.,"construction,charpenterie"
menuis.,"construction,charpenterie"
tailleur,"vêtements, lingerie,chaussures,literies"
nég.,"banques,établissements financiers"
lingère,"vêtements, lingerie,chaussures,literies"
emp. CFF,transports
frapp.,"bijouterie,gravure,frappe"
ag. d'assurances,assurances privées
maraîch.,produits alimentaires
tap.,réparations
scieur,"bois,liège,meubles"
g. de courses,"journalières,entretien"
empl. post.,"employés pour tous,célibataires"
tailleur,"vêtements, lingerie,chaussures,literies"
repass.,industrie textile
blanchisseuse,employées pour le ménage et la ferme
prof. de chant et calligr.,arts graphiques
g. de mag.,commerce de détail
charron,"construction,charpenterie"
tailleur,"vêtements, lingerie,chaussures,literies"
chaussures,"vêtements, lingerie,chaussures,literies"
emp. téléph.,"gaz,eau,éléctricité"
jard.,"journaliers,entretien"
prof. de piano,arts graphiques
commis C. F. F.,
emp. de comm.,commerce de détail
boul.,produits alimentaires
coiff.,commerce de détail
terrass.,"construction,charpenterie"
lithographe,arts graphiques
rel.,réparations
mécanic.,réparations
cout.,industrie textile
emp. voy. postal,transports
prof.,administration publique
chauffeur,transports
commis postal,"agences,locations,consultations"
empl. C. F. F.,"employés pour tous,célibataires"
fumiste,réparations
menuis.,"bois,liège,meubles"
jardin.,"journaliers,entretien"
ag. de police,administration publique
empl. au tél.,"agences,locations,consultations"
étudi.,"agences,locations,consultations"
vign.,produits alimentaires
coiffeur,commerce de détail
institutr.,administration publique
diacon.,administration publique
cuisin.,produits alimentaires
prof.,bureaux de consultation
ministre israélite,administration publique
anc. nég.,commerce de détail
pâtissier,produits alimentaires
direct.,administration publique
ag. de police,administration publique
pionn.,"journaliers,entretien"
serrur.,industrie des métaux
emp.,"employés pour tous,célibataires"
anc. boucher,produits alimentaires
manège,transports
électric.,"gaz,eau,éléctricité"
m. de pension,"hôtellerie,restauration"
tonnelier,"bois,liège,meubles"
prof. d'équitation,"employés pour tous,célibataires"
restaur.,"hôtellerie,restauration"
cordon.,industrie textile
tabacs Midi 18,commerce de détail
broderies,arts graphiques
menuiserie,"bois,liège,meubles"
reprès.,commerce de détail
cuirs,industrie textile
diaconesse,employées pour le ménage et la ferme
cuisinière,"hôtellerie,restauration"
past.,réparations
compt.,"banques,établissements financiers"
dactyl.,arts graphiques
emp.,"employés pour tous,célibataires"
g.-mal.,"journaliers,entretien"
sténog.-dactyl.,bureaux de consultation
charret.,transports
agriculteur,employées pour le ménage et la ferme
agriculteur,employées pour le ménage et la ferme
imprimeur,arts graphiques
sténogr.,bureaux de consultation
religieuse,administration publique
prof.,bureaux de consultation
rent.,"affaires immobilières,location"
lingère,"vêtements, lingerie,chaussures,literies"
garç. d'office,"employés pour tous,célibataires"
entr.,"journaliers,entretien"
artiste peintre,arts graphiques
cout.,industrie textile
stén.-dact.,bureaux de consultation
archit.,"construction,charpenterie"
avocat,"agences,locations,consultations"
tapissier,"bois,liège,meubles"
emp. CFF.,transports
voyag.,transports
tailleur,"vêtements, lingerie,chaussures,literies"
typo.,réparations
représ.,commerce de détail
avocat,"agences,locations,consultations"
prof.,"agences,locations,consultations"
médecin,bureaux de consultation
direct. des P.F.G.,administration publique
commerc.,commerce de détail
tourneur,industrie des métaux
ferbl.,industrie des métaux
couvreur,"construction,charpenterie"
institutrn.,"agences,locations,consultations"
arch.,"construction,charpenterie"
cout.,industrie textile
commerc.,commerce de détail
cout.,industrie textile
vannier,"bois,liège,meubles"
postillon,transports
serrurier,industrie des métaux
